DATE	DJCA
1936-03-13	54.35
1936-03-14	55.80
1936-03-16	55.55
1936-03-17	56.71
1936-03-18	56.38
1936-03-19	56.81
1936-03-20	56.57
1936-03-21	56.28
1936-03-23	56.79
1936-03-24	56.52
1936-03-25	56.90
1936-03-26	56.93
1936-03-27	56.11
1936-03-28	56.13
1936-03-30	55.98
1936-03-31	56.26
1936-04-01	57.19
1936-04-02	57.91
1936-04-03	57.68
1936-04-04	58.20
1936-04-06	58.49
1936-04-07	58.15
1936-04-08	58.29
1936-04-09	58.23
1936-04-11	58.39
1936-04-13	58.48
1936-04-14	57.42
1936-04-15	57.76
1936-04-16	57.39
1936-04-17	57.01
1936-04-18	56.46
1936-04-20	55.06
1936-04-21	55.21
1936-04-22	55.78
1936-04-23	54.15
1936-04-24	54.19
1936-04-25	54.41
1936-04-27	52.47
1936-04-28	52.50
1936-04-29	51.25
1936-04-30	52.13
1936-05-01	52.46
1936-05-02	52.25
1936-05-04	52.41
1936-05-05	52.99
1936-05-06	53.52
1936-05-07	52.53
1936-05-08	52.40
1936-05-09	52.73
1936-05-11	52.34
1936-05-12	52.30
1936-05-13	52.73
1936-05-14	54.16
1936-05-15	54.25
1936-05-16	54.27
1936-05-18	53.96
1936-05-19	52.91
1936-05-20	53.39
1936-05-21	53.30
1936-05-22	53.73
1936-05-23	54.13
1936-05-25	54.21
1936-05-26	55.09
1936-05-27	55.15
1936-05-28	54.80
1936-05-29	55.12
1936-06-01	55.22
1936-06-02	54.98
1936-06-03	54.74
1936-06-04	53.99
1936-06-05	53.91
1936-06-06	54.14
1936-06-08	54.67
1936-06-09	55.38
1936-06-10	55.54
1936-06-11	56.20
1936-06-12	55.66
1936-06-13	56.04
1936-06-15	56.09
1936-06-16	56.85
1936-06-17	56.91
1936-06-18	57.14
1936-06-19	56.68
1936-06-20	56.88
1936-06-22	57.60
1936-06-23	57.34
1936-06-24	57.82
1936-06-25	57.18
1936-06-26	57.08
1936-06-27	57.21
1936-06-29	57.02
1936-06-30	56.96
1936-07-01	57.24
1936-07-02	57.07
1936-07-03	57.38
1936-07-06	57.01
1936-07-07	56.54
1936-07-08	57.07
1936-07-09	57.71
1936-07-10	58.60
1936-07-11	58.97
1936-07-13	59.25
1936-07-14	60.21
1936-07-15	60.16
1936-07-16	60.32
1936-07-17	60.34
1936-07-18	60.58
1936-07-20	60.68
1936-07-21	60.97
1936-07-22	60.60
1936-07-23	60.75
1936-07-24	60.67
1936-07-25	61.05
1936-07-27	61.67
1936-07-28	61.68
1936-07-29	61.06
1936-07-30	61.24
1936-07-31	60.81
1936-08-01	60.94
1936-08-03	60.87
1936-08-04	60.96
1936-08-05	60.90
1936-08-06	61.22
1936-08-07	62.10
1936-08-08	62.64
1936-08-10	62.40
1936-08-11	62.00
1936-08-12	62.41
1936-08-13	61.95
1936-08-14	61.17
1936-08-15	61.13
1936-08-17	60.86
1936-08-18	60.87
1936-08-19	61.20
1936-08-20	60.91
1936-08-21	59.07
1936-08-22	59.61
1936-08-24	60.16
1936-08-25	60.22
1936-08-26	59.87
1936-08-27	61.11
1936-08-28	61.33
1936-08-29	61.63
1936-08-31	61.46
1936-09-01	61.39
1936-09-02	61.61
1936-09-03	61.49
1936-09-04	61.80
1936-09-05	62.14
1936-09-08	62.65
1936-09-09	62.34
1936-09-10	62.50
1936-09-11	62.36
1936-09-12	62.18
1936-09-14	61.71
1936-09-15	61.52
1936-09-16	60.86
1936-09-17	61.29
1936-09-18	61.84
1936-09-19	62.40
1936-09-21	62.35
1936-09-22	62.48
1936-09-23	62.27
1936-09-24	62.40
1936-09-25	61.33
1936-09-26	62.06
1936-09-28	62.25
1936-09-29	62.22
1936-09-30	61.90
1936-10-01	61.92
1936-10-02	63.04
1936-10-03	63.67
1936-10-05	63.77
1936-10-06	64.19
1936-10-07	64.39
1936-10-08	64.61
1936-10-09	64.71
1936-10-10	65.08
